CODGEO;POP;SUPERF;NAIS1420;DECE1420;MEN;LOG;RP;RSECOCC;LOGVAC;RP_PROP;EMPLT;EMPLT_SAL;POP1564;CHOM1564;ACT1564;Ville
51230;22362;22.69;1558;1670;11459;13408;11459;491;1457;4945;13732;12455;13559;1698;10184;Épernay
51454;180318;46.9;15070;9032;92510;105995;92510;3402;10082;25152;92399;83786;121055;14839;82751;Reims
52121;21770;55.26;1214;1322;11354;12833;11354;335;1143;4691;15037;13985;13585;1445;10322;Chaumont
52448;23085;47.69;1588;1775;11231;13327;11231;278;1817;4813;15165;14081;14300;1911;9669;Saint-Dizier
53130;49617;34.22;3537;2802;25880;28954;25880;763;2309;11000;35929;33327;30814;3098;22336;Laval
54395;104403;15.01;6867;4490;59526;71011;59526;3341;8144;16370;68980;61502;76342;8091;48885;Nancy
54547;29723;9.46;2238;1268;15533;17232;15533;287;1411;4758;17993;16942;20200;2075;11257;Vandœuvre-lès-Nancy
56098;22940;18.37;1362;1435;10638;11549;10638;146;763;6200;9284;8442;13991;1438;10193;Lanester
56121;57412;17.48;3855;3591;32333;36486;32333;1232;2920;13486;35270;31091;36571;4350;25266;Lorient
56260;54017;32.3;3176;3714;29457;34970;29457;2578;2934;13332;43304;38623;32735;3305;22827;Vannes
57227;21509;16.32;1544;1344;9172;11032;9172;82;1776;3736;10334;9542;13189;2110;8305;Forbach
57463;120211;41.94;9196;6036;60458;70312;60458;1723;8130;20061;80624;73839;81571;9045;56714;Metz
57480;21788;6.7;1232;1463;11088;12140;11088;138;913;4293;4946;4370;13455;1419;10199;Montigny-lès-Metz
57631;20555;29.67;1283;1547;10061;11869;10061;186;1621;4387;16469;15254;13109;1518;9212;Sarreguemines
57672;41383;49.88;2600;2337;20317;22876;20317;392;2166;9175;19995;18153;26540;2424;20192;Thionville
58194;32284;17.33;2129;2601;17581;22072;17581;800;3690;7297;20833;19074;19070;2392;12658;Nevers
59009;61258;27.46;4830;2005;26906;29145;26906;871;1367;10853;54740;51749;41716;4754;27578;Villeneuve-d'Ascq
59017;25225;6.28;2318;1314;11221;12567;11221;83;1261;5365;9865;9072;15763;2089;11369;Armentières
59122;31559;18.18;2122;2388;16036;18170;16036;189;1944;6987;17785;15973;19262;3130;13771;Cambrai
