Ville;Sum_Nbr_demandeur_emploi;Avg_Taux_satisfaction;Avg_Nombre_retours_emploi;Avg_Taux_notification
Morteau Cedex;1868;91;2798;92
Moulins;3601;87;5253;94
Mourenx;2120;91;3403;94
Moutiers;2537;98;6622;96
Mulhouse;15314;86;4741;93
Muret ;5243;84;7839;93
Nancy;12198;83;3970;94
Nanterre;5867;86;6170;91
Nantes;4012;81;6193;92
Nantes  ;15898;83;5738;95
Narbonne ;8005;89;9655;94
Nazelles Negron;2242;92;3882;93
Nemours;2517;80;2790;92
Neufchateau;2070;90;2910;94
Neuilly Sur Marne;3392;86;3799;95
Neuville Sur Saone;1363;85;2215;95
Nevers;3153;82;4544;94
Nice;14867;88;6827;94
Nice  ;7463;88;11224;93
Nimes  ;18497;87;6970;93
Niort ;5063;83;4367;94
Noeux Les Mines;2526;84;3572;94
Nogent Le Rotrou;1335;93;1859;93
Nogent Sur Marne;3733;87;4290;93
Noisy Le Grand;3549;77;4202;93
Noisy Le Sec;6283;83;6526;93
Nontron;1460;83;2116;92
Noyon ;2214;76;2857;95
Olonne Sur Mer;2950;87;5143;93
Oloron Ste Marie;1968;89;3902;97
Orange ;4101;86;5211;93
Orleans  Cedex 1;5385;80;8958;92
Orleans Cedex 2;3351;82;5557;94
Oullins;4916;87;7712;94
Oyonnax;2576;85;4569;93
Palaiseau;4416;83;5813;93
Pamiers ;2274;81;2885;92
Pantin;5171;82;5117;94
Parentis En Born;3153;90;5078;92
Paris;102167;81;7806;92
Parthenay ;1353;92;2377;94
Pau;5656;84;4756;93
Perigueux ;4251;85;4856;94
Perols ;6862;86;9754;94
Peronne ;2871;87;4066;93
Perpignan  ;17270;84;9477;95
Persan;3460;88;4482;91
Pertuis;2401;91;3508;94
Pessac ;2636;84;4739;94
Petit-Bourg;2939;75;1851;93
Pezenas;2498;90;2912;95
Pierrelatte;4584;89;5922;92
Pithiviers;2415;85;3474;93
Plaisir;3009;87;3975;95
Ploermel;2487;85;3797;94
Pointe A Pitre;2068;76;1020;93
Poissy;7088;80;8440;91
Poitiers ;2666;84;4162;94
Pont A Mousson;1894;88;2691;93
Pont Audemer;2337;83;3808;94
Pont L Abbe ;1989;88;3124;94
Pontarlier Cedex;2224;88;3666;92
Pontault Combault;4219;84;5375;94
Pontcharra;1672;89;2911;94
Pontivy ;3177;82;5248;92
Pornic ;2730;86;5256;92
Port Louis;2023;72;1113;92
Portet Sur Garonne ;2716;86;4286;93
Porto Vecchio;3172;92;3938;96
Prades ;3085;93;3967;95
Privas;2362;87;3240;95
Provins;3306;84;3932;96
Puteaux;1923;86;2064;94
Quetigny;3256;88;5491;93
Quimper;2335;81;4010;93
Quimper ;2409;87;4000;92
Quimperle ;2094;80;3597;93
Rambouillet;3080;86;4257;94
Ravine Des Cabris;4728;83;3189;94
Redon ;2468;88;3941;94
Reims;10169;82;4450;93
Remiremont;2510;87;3772;94
Rennes ;14426;81;8649;93
Rennes  ;11410;85;9790;93
Rethel;1979;89;2815;93
Revin;1828;85;1700;94
Reze ;3490;76;6585;93
Rillieux La Pape;1729;90;2700;94
Riom;3831;88;5879;94
Rive De Gier;1524;88;2639;93
Riviere Salee;4314;79;3720;93
Roanne;5556;85;8211;93
Rochefort;2992;85;4956;95
Rodez  ;3915;86;6725;94
Romans Sur Isere;5128;83;7718;93
Romilly Sur Seine;2842;82;3302;95
Romorantin Lanthenay;2413;85;3801;94
Rosny Sous Bois;4450;85;4722;93
Roubaix;10082;84;4226;95
Rouen;2469;77;3122;95
Rouen ;10898;85;4661;95
Roussillon;2348;87;3230;94
Royan ;3791;91;5860;94
Rueil Malmaison;6426;83;7303;92
Sable Sur Sarthe ;1543;76;3004;94
Saint Avold;2965;90;3954;92
Saint Die Des Vosges;3735;90;4328;94
Saint Dizier;2821;86;3695;94
Saint Louis;3444;87;3891;90
Saint Pol Sur Ternoise;1569;84;2107;94
Saint-Claude Cedex;1786;90;2960;92
Saintes ;3616;85;5338;93
Sallanches;2283;87;5561;94
Salon De Provence;5064;85;7196;94
Sarcelles;6581;82;7306;91
Sarlat La Caneda;2177;84;3436;94
Sarrebourg;2790;88;4141;93
Sarreguemines;3437;95;4638;93
Sartrouville;6970;84;7782;93
Saumur ;4354;87;7132;94
Saverne;2800;84;4715;93
Savigny Le Temple;5177;83;6629;93
Savigny Sur Orge;3635;89;4596;96
Schiltigheim;5163;86;7147;94
Schoelcher;3273;81;2726;94
Seclin;2895;79;4037;93
Sedan;3170;86;3246;93
Segre ;1901;93;3678;95
Selestat;3588;86;6293;93
Sene;3994;84;7152;93
Sens Cedex;4355;80;5927;93
Sete ;6498;85;8671;94
Sevran;3665;82;3875;94
Seynod;3164;85;6028;94
Sezanne;1311;85;1917;95
Sin Le Noble;3359;87;3931;94
Six Fours Les Plages ;3973;86;5933;93
Soissons ;5559;83;5928;93
Somain;4311;80;4686;95
Souillac;1791;87;2641;95
St Amand Les Eaux;1548;83;1767;93
St Amand Montrond ;1512;78;2077;96
St Andre;7898;82;4686;96
St Astier;2851;84;4036;95
St Benoit;8419;80;5417;93
St Benoit ;3519;84;6554;95
St Brieuc  ;6710;86;5087;93
St Chamond;2798;85;3957;93
St Cyr Sur Loire ;3067;82;5132;94
St Denis;7986;80;8564;91
St Denis ;8446;79;5611;94
St Etienne;12967;83;4092;94
St Etienne Rouvray ;2329;84;2854;92
St Flour;904;78;1655;95
St Fons;2501;94;3497;93
St Francois;4325;79;2692;92
St Gaudens ;3778;88;5021;94
St Germain En Laye;4477;81;5059;92
St Gilles Croix Vie ;2057;87;3655;94
St Gilles Les Hauts;5434;86;4395;94
St Girons ;2144;91;2141;92
St Gratien;2457;82;2882;94
St Herblain ;3028;87;5363;93
St Jean;3262;90;5243;87
St Jean D Angely ;2339;89;3059;93
St Jean De Braye ;3184;89;5636;94
St Jean De Luz;2981;90;4992;94
St Jean De Maurienne;1695;94;4183;96
St Jean De Vedas;7476;84;9557;93
St Joseph;8390;86;4392;96
St Junien ;1390;80;2168;93
St Laurent Du Maroni;5833;76;2138;94
St Lo ;2901;86;5190;94
St Louis;7498;85;4472;93
St Malo ;3967;89;7193;93
St Martin;4344;84;2688;93
St Martin Boulogne;3204;88;4523;96
St Martin D Heres;4371;91;6787;96
St Maur Des Fosses;2413;90;2930;94
St Maximin La Ste Baume;1992;93;3188;95
St Medard En Jalles ;2434;86;4138;93
St Nazaire ;3279;84;5845;94
St Ouen;4041;83;4451;96
St Ouen L Aumone;4304;78;5556;93
St Paul;7752;83;5162;93
St Paul Les Dax;2396;87;4464;95
St Pierre;9245;87;2902;94
St Pierre D Oleron;1666;92;2733;96
St Pierre Des Corps;2623;88;3935;94
St Pierre Et Miquelon;79;0;0;94
St Priest;3912;82;5542;91
St Quentin ;7523;84;8379;95
St Raphael;3857;87;5563;94
St Sebastien S Loire ;3059;78;6430;93
St Vincent De Tyrosse;3698;87;6630;94
St Yrieix La Perche;1075;94;1722;93
Stains;5042;83;5191;94
Ste Clotilde;4618;79;3326;94
Ste Clotilde ;4443;79;3416;95
Ste Genevieve Des Bois;3066;85;4343;96
Ste Marie;9527;83;3477;93
Ste Rose;4406;81;2577;95
Strasbourg;20128;85;5109;92
Sucy En Brie;3889;84;4694;93
Tarare;2732;88;4449;95
Tarbes ;3288;89;4944;94
Tarbes  ;3317;86;4616;93
Tassin La Demi Lune;4974;86;7589;94
Taverny;3347;87;4274;93
Terrasson Lavilledieu;1309;84;1966;95
Thann;2241;89;3245;92
Thiers;3787;92;4649;94
Thionville;6013;91;3686;93
Thoiry;5359;79;5964;90
Thonon Les Bains;5483;83;8761;92
Thouars;1339;89;2293;93
Tignieu-Jameyzieu;2043;89;3097;92
Torcy;4255;89;5480;95
Toul;1957;86;2634;93
Toulon;8693;82;5844;93
Toulouse  ;32779;86;6589;94
Tourcoing;8557;80;8771;94
Tourlaville;1497;82;2623;93
Tournon Sur Rhone;3929;87;5857;93
Tours  ;8376;82;6282;93
Trappes;4822;88;6063;94
Tremblay En France;4598;89;5027;94
Trevoux;2324;89;4139;93
Trignac;3003;85;6401;94
Troyes;11846;83;7278;93
Tulle ;3462;79;4911;92
Valence;7891;83;5678;93
Valenciennes;6316;83;6534;94
Vandoeuvre Les Nancy;3001;88;4111;94
Vannes;3908;86;6679;93
Vaulx En Velin;3513;87;4278;91
Vauvert;4193;91;5743;93
Vendome ;2139;84;3438;94
Venissieux;4757;90;6035;93
Verdun;3267;85;3888;90
Verneuil Sur Avre;1408;88;2074;97
Vernon ;3775;86;5580;93
Vernouillet;2182;85;2838;94
Versailles;7203;83;9354;90
Vervins;1862;94;2024;95
Vesoul Cedex;2638;82;3950;93
Vichy;5490;88;7748;93
Vienne;3024;87;4688;93
Vierzon ;2407;87;2712;94
Villefontaine;3228;83;5262;94
Villefranche De Lauragais;1946;89;2938;93
Villefranche De Rouergue ;1080;90;1517;95
Villefranche S Saone;3902;83;6605;94
Villejuif;4862;80;4938;92
Villenave D Ornon;4498;85;7391;93
Villeneuve D Ascq;5545;82;7605;93
Villeneuve Les Avignon;1875;90;2546;92
Villeneuve St Georges;2962;82;3379;93
Villeneuve Sur Lot;4085;92;5504;93
Villeurbanne;8740;82;12214;94
Vincennes;2378;85;2785;93
Vire ;1908;87;2953;93
Viry Chatillon;5027;86;6593;95
Vitre ;2181;82;4565;94
Vitrolles;3246;89;4516;93
Vitry Le Francois;1812;84;2306;93
Vitry Sur Seine ;5486;84;5907;94
Voiron;5036;88;8089;90
Wattrelos;2911;90;2883;94
Wissembourg;1800;83;2546;88
Yvetot;1544;91;2788;95
